main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Limpeza,Tira Manchas em Pó Vanish Crystal White Oxi Action para roupas brancas Refil Econômico 400g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/tira-manchas-em-po-vanish-crystal-white-oxi-action-para-roupas-brancas-refil-economico-400g-5149860/p,,-34%,22.59,14.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Bicarbonato de Sódio Farmax 100g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/bicarbonato-de-sodio-farmax-100g-3293360/p,,,,11.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel de Limpeza Actine Darrow 140g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-limpeza-actine-darrow-140g-5346487/p,,,,59.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Pedra Hume Spray Farmax com 30 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/pedra-hume-spray-farmax-com-30-ml-5154154/p,,,,9.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Facial Dermotivin Original Pele Mista A Oleosa Com 120ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-facial-dermotivin-original-pele-mista-a-oleosa-com-120ml-5359724/p,,,,57.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Actine Loção Adstringente 190 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/actine-locao-adstringente-190-ml-5421730/p,,,,79.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Tira Manchas em Gel Vanish Multiuso para roupas coloridas 500ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/tira-manchas-em-gel-vanish-multiuso-para-roupas-coloridas-500ml-2447487/p,,-7%,16.89,15.65
Mercado,Drogaria,Dermocosméticos,Limpeza,Detergente para Lava Louças em pó Finish 700g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/detergente-para-lava-loucas-em-po-finish-700g-6645755/p,,-10%,45.09,40.59
Mercado,Drogaria,Dermocosméticos,Limpeza,Tira Manchas Vanish em Pó Crystal White Oxi Action para roupas brancas Refil Econômico 1kg,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/tira-manchas-vanish-em-po-crystal-white-oxi-action-para-roupas-brancas-refil-economico-1kg-5559421/p,40% OFF NA 2 UNBadge da promoção 40% OFF NA 2 UN,,,42.59
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Klaviê Clinical com 150 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-klavie-clinical-com-150-ml-5431930/p,,,,54.9
