Title,Company,Work Type,Location,Job Type,Posted,Job URL
"Monitoring, Evaluation and Learning (MEL) Coordinator",SEED Madagascar,On-site,"Taolagnaro, Anosy, Madagascar",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/3819aa7920834ec3867423adc469cd14-monitoring-evaluation-and-learning-mel-coordinator-seed-madagascar-taolagnaro
Operations and Administration Officer,SEED Madagascar,On-site,"Taolagnaro, Anosy, Madagascar",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/f3b965a3f9d54c4198ab2f4d51c003ab-operations-and-administration-officer-seed-madagascar-taolagnaro
Operations and Support Junior Officer,SEED Madagascar,On-site,"Taolagnaro, Anosy, Madagascar",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/0451ab2840b74fcebdc397453058ebf3-operations-and-support-junior-officer-seed-madagascar-taolagnaro
"Regional Network Coordinator, Clinical Trials Accelerator Platform (CTAP)",Cystic Fibrosis Trust,Hybrid,"London, England, United Kingdom",Part Time,Posted 1 day ago,https://www.idealist.org/en/nonprofit-job/980cdbb333cf4fefab5039a9093b15e6-regional-network-coordinator-clinical-trials-accelerator-platform-ctap-cystic-fibrosis-trust-london
Program Development Managers,Lead Exposure Elimination Project,Remote,Anywhere,Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/6c7e8fcdb5d1406da2c5c21357792d8b-program-development-managers-lead-exposure-elimination-project-london
Research Managers,Lead Exposure Elimination Project,Remote,Anywhere,Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/4eaf32e306684a8f87933a6858c7208a-research-managers-lead-exposure-elimination-project-london
Impact Evaluation Manager,Lead Exposure Elimination Project,Remote,Anywhere,Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/f8e77775430e4dec9d7540f280322078-impact-evaluation-manager-lead-exposure-elimination-project-london
Clinical Quality Improvement Facilitator,Cystic Fibrosis Trust,Hybrid,"London, England, United Kingdom",Full Time,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/8a1e42e8112c4fb089b7095c47c3cfd3-clinical-quality-improvement-facilitator-cystic-fibrosis-trust-london
Head of Communications,Lead Exposure Elimination Project,Hybrid,"London, England, United Kingdom",Full Time,Posted 16 days ago,https://www.idealist.org/en/nonprofit-job/2963f1846dfb4627af705bb16b3a9f2e-head-of-communications-lead-exposure-elimination-project-london
International Grants Accountant,ARTICLE 19,Hybrid,"London, England, United Kingdom",Full Time,Posted 19 days ago,https://www.idealist.org/en/nonprofit-job/0b812684d16f4b17b099919c72c0438f-international-grants-accountant-article-19-london
